Date,Open,High,Low,Close,Volume
2026-05-04,0.24,0.24,0.23,0.23,44573320
2026-05-05,0.23,0.23,0.23,0.23,17276060
2026-05-06,0.23,0.23,0.23,0.23,107343400
2026-05-07,0.23,0.23,0.23,0.23,47306700
2026-05-10,0.23,0.23,0.23,0.23,46006740
2026-05-11,0.23,0.23,0.23,0.23,51711970
2026-05-12,0.23,0.23,0.23,0.23,42835530
2026-05-13,0.23,0.23,0.22,0.22,38888570
2026-05-14,0.22,0.22,0.2,0.21,30974610
2026-05-17,0.22,0.22,0.21,0.21,37382820
2026-05-18,0.21,0.21,0.19,0.2,30186220
2026-05-19,0.21,0.21,0.19,0.19,34409980
2026-05-20,0.19,0.2,0.18,0.19,14193510
2026-05-21,0.2,0.2,0.2,0.2,39377290
2026-05-24,0.2,0.21,0.2,0.2,43920080
2026-05-25,0.2,0.21,0.2,0.21,27981480
2026-05-31,0.21,0.21,0.2,0.21,15636740
2026-06-01,0.21,0.21,0.21,0.21,36616720
2026-06-02,0.21,0.21,0.21,0.21,23956600
2026-06-03,0.21,0.21,0.2,0.2,22830660
2026-06-04,0.2,0.2,0.2,0.2,8912712
2026-06-07,0.2,0.2,0.19,0.2,40117018
2026-06-08,0.19,0.2,0.19,0.2,46730955
2026-06-09,0.2,0.2,0.2,0.2,33613025
2026-06-10,0.2,0.2,0.2,0.2,14138250
2026-06-11,0.2,0.2,0.2,0.2,37013220
2026-06-14,0.2,0.2,0.2,0.2,317907080
2026-06-15,0.2,0.2,0.2,0.2,26034100
2026-06-16,0.2,0.21,0.2,0.21,43191630
2026-06-17,0.21,0.21,0.2,0.2,21516630
2026-06-21,0.2,0.2,0.2,0.2,34026143
2026-06-22,0.2,0.2,0.2,0.2,19318994
2026-06-23,0.2,0.2,0.19,0.19,15163732
2026-06-24,0.19,0.2,0.19,0.19,47329374
2026-06-25,0.19,0.2,0.19,0.19,40003448
2026-06-28,0.19,0.2,0.19,0.19,28160697
2026-06-29,0.19,0.19,0.19,0.19,42846143
2026-06-30,0.19,0.2,0.19,0.2,46656280
2026-07-01,0.2,0.2,0.19,0.2,30840349
2026-07-02,0.2,0.2,0.19,0.2,35221228
2026-07-05,0.2,0.2,0.19,0.19,46241996
2026-07-06,0.19,0.19,0.19,0.19,33450548
2026-07-07,0.19,0.19,0.19,0.19,22814043
2026-07-08,0.19,0.19,0.19,0.19,7621609
2026-07-09,0.19,0.19,0.19,0.19,18953596
2026-07-12,0.19,0.19,0.19,0.19,10320608
2026-07-13,0.19,0.19,0.18,0.18,28591849
2026-07-14,0.18,0.19,0.18,0.18,23033365
2026-07-15,0.18,0.19,0.18,0.18,19283780
2026-07-16,0.18,0.18,0.18,0.18,10148546
