"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2025","0.163","0.165","0.166","0.163","29.61M","-1.21%"
"12/25/2025","0.165","0.164","0.165","0.164","46.44M","0.61%"
"12/24/2025","0.164","0.164","0.164","0.162","17.68M","0.00%"
"12/23/2025","0.164","0.164","0.165","0.163","45.58M","0.00%"
"12/22/2025","0.164","0.164","0.166","0.163","31.76M","0.00%"
"12/21/2025","0.164","0.165","0.166","0.164","46.64M","0.00%"
"12/18/2025","0.164","0.164","0.165","0.163","23.14M","0.00%"
"12/17/2025","0.164","0.163","0.164","0.162","58.43M","0.61%"
"12/16/2025","0.163","0.165","0.165","0.162","39.98M","-1.81%"
"12/15/2025","0.166","0.165","0.169","0.165","74.94M","0.61%"
"12/14/2025","0.165","0.164","0.166","0.163","32.71M","0.00%"
"12/11/2025","0.165","0.165","0.165","0.163","33.33M","0.00%"
"12/10/2025","0.165","0.168","0.168","0.164","63.51M","-1.20%"
"12/09/2025","0.167","0.163","0.167","0.161","42.97M","2.45%"
"12/08/2025","0.163","0.166","0.166","0.162","19.84M","-1.81%"
"12/07/2025","0.166","0.165","0.167","0.165","22.85M","0.61%"
"12/04/2025","0.165","0.162","0.166","0.161","57.08M","1.85%"
"12/03/2025","0.162","0.161","0.163","0.160","40.49M","1.25%"
"12/02/2025","0.160","0.156","0.160","0.155","39.18M","2.56%"
"12/01/2025","0.156","0.157","0.157","0.155","37.42M","-1.27%"
"11/30/2025","0.158","0.154","0.158","0.154","33.13M","3.27%"
"11/25/2025","0.153","0.153","0.155","0.152","27.94M","-0.65%"
"11/24/2025","0.154","0.153","0.154","0.152","17.83M","1.32%"
"11/23/2025","0.152","0.155","0.155","0.152","44.96M","-2.56%"
"11/20/2025","0.156","0.156","0.158","0.155","28.39M","0.00%"
"11/19/2025","0.156","0.155","0.156","0.152","25.75M","0.00%"
"11/18/2025","0.156","0.156","0.156","0.153","28.25M","0.00%"
"11/17/2025","0.156","0.157","0.157","0.155","24.72M","-1.27%"
